date,COVID,shoot+to+kill,oust,public+transportation,mental+health,pwd,quarantine,social amelioration,subpoena,arrest,protesta,volunteer,disinformation,duterte,freedom of speech,LGBT,gay,human rights,prisoners,senior+citizen,upa,rent,unemployment,salary,sweldo,work,censorship,trabaho,ayuda,relief+goods,police,abogado,pulis,PNP,AFP,military,militar,fake+news,reklamo,checkpoint,social+distancing,lockdown,rapid testing,mass+testing,testing,pandemic,corona virus,coronavirus,karapatan,karapatang+pantao,human+rights
1/27/2020,0,91,0,79,72,40,4,0,20,67,0,24,0,7,0,38,64,67,38,78,45,80,60,41,28,68,0,33,42,58,70,0,53,23,61,29,67,61,0,7,91,1,0,31,52,2,50,55,56,37,84
1/28/2020,0,96,0,75,85,47,4,0,40,31,0,18,0,9,0,67,62,72,13,91,46,89,45,52,29,68,28,51,0,62,100,100,59,33,52,35,40,44,0,14,82,0,0,36,56,2,40,44,55,39,94
1/29/2020,0,96,0,80,76,48,3,0,20,81,0,31,0,6,29,54,66,46,19,91,0,93,61,55,57,65,41,54,0,59,79,25,61,53,57,27,77,42,40,10,87,1,0,33,82,2,31,43,45,44,89
1/30/2020,0,96,0,73,96,26,9,100,61,69,0,68,43,14,0,55,58,52,13,92,0,66,67,49,28,64,0,45,44,70,70,26,52,49,68,30,38,47,0,7,76,2,0,39,91,3,100,100,60,52,91
1/31/2020,0,89,52,68,81,45,8,0,44,48,53,14,0,12,32,26,69,44,29,70,0,75,28,51,32,59,0,45,0,58,66,42,68,42,29,37,14,41,46,15,59,1,0,25,78,3,90,76,27,17,78
2/1/2020,0,87,100,70,45,22,6,0,0,89,0,22,0,5,34,28,73,41,15,64,0,74,37,35,66,40,0,28,0,34,64,0,57,24,49,31,22,36,98,32,42,1,0,47,27,2,40,37,12,15,58
2/2/2020,0,92,32,72,60,60,5,0,46,50,0,28,0,7,0,23,78,59,14,64,52,89,41,37,33,53,65,35,0,49,62,29,41,20,66,39,21,39,48,8,69,1,0,72,35,2,36,34,59,40,69
2/3/2020,0,95,0,71,77,45,10,0,0,47,0,12,41,7,27,50,65,81,0,85,0,73,67,44,53,66,26,64,0,56,89,0,55,40,69,39,38,44,0,19,92,0,0,37,79,3,30,28,74,58,97
2/4/2020,0,96,0,75,94,59,6,0,60,31,0,37,0,8,29,65,60,100,12,94,0,93,45,48,28,73,27,75,42,77,88,25,59,38,93,29,43,43,0,10,92,2,0,33,68,2,29,24,89,69,91
2/5/2020,0,97,0,90,75,55,10,0,80,37,0,36,0,9,29,69,63,72,32,82,0,75,85,45,0,64,0,68,42,63,84,38,65,35,41,36,61,41,40,10,89,1,0,33,83,2,30,25,79,66,85
2/6/2020,0,95,0,74,80,48,8,0,60,37,48,67,0,6,0,41,60,64,25,79,0,73,66,55,56,69,27,78,42,92,82,0,42,36,72,41,43,47,0,7,80,0,0,33,75,1,24,20,83,64,87
2/7/2020,0,91,10,72,66,47,9,0,0,47,0,60,0,6,0,33,75,39,27,89,49,91,27,50,0,63,0,33,0,33,66,55,54,31,22,28,7,42,0,11,63,0,100,40,55,2,23,21,33,24,67
2/8/2020,0,89,0,66,53,42,11,0,23,14,0,35,0,7,0,65,76,13,22,78,0,83,35,37,33,53,0,47,0,40,78,29,57,28,42,20,14,38,47,8,54,0,0,48,42,2,18,17,40,10,64
2/9/2020,0,92,0,64,61,49,7,0,44,54,55,27,0,5,0,38,75,65,21,69,49,80,28,40,0,60,30,76,46,53,70,28,46,19,40,32,31,39,0,15,77,0,0,94,60,1,17,16,54,45,79
2/10/2020,0,96,0,87,82,88,8,0,20,86,50,61,43,9,28,56,67,61,19,98,44,80,76,54,29,75,0,72,41,66,86,0,73,29,41,33,49,43,0,10,93,0,0,35,64,1,23,18,75,83,99
2/11/2020,0,98,0,77,78,47,7,0,19,49,0,18,0,13,28,77,61,99,0,83,0,83,100,45,42,69,27,30,0,70,87,50,53,24,76,29,18,38,39,7,95,0,0,31,64,1,18,15,74,68,100
2/12/2020,2,98,0,78,74,47,6,0,0,80,0,36,0,11,28,53,68,78,19,100,45,82,20,52,28,68,27,54,0,67,65,50,55,21,51,31,36,39,40,14,90,0,0,41,74,0,16,13,100,86,95
2/13/2020,3,97,0,68,77,70,6,0,100,81,48,50,0,12,57,42,67,61,19,78,47,70,46,48,71,65,57,72,43,55,89,26,58,22,73,22,31,36,0,10,87,0,0,35,73,1,14,10,60,57,80
2/14/2020,3,92,0,67,54,25,5,0,67,78,0,35,0,6,64,49,65,28,15,59,0,59,40,41,33,57,62,35,0,63,50,87,56,15,41,31,11,32,46,8,50,0,0,27,51,1,11,10,32,30,61
2/15/2020,2,92,0,70,44,39,2,0,24,51,0,15,0,7,34,31,73,27,30,60,0,87,12,35,33,43,33,28,100,36,65,59,59,19,37,41,33,32,48,12,52,0,0,47,40,1,12,8,26,21,56
2/16/2020,3,94,11,62,63,46,3,0,0,100,0,21,0,7,0,32,84,63,22,83,0,86,29,26,32,59,0,94,0,42,72,0,55,18,36,34,7,32,47,0,74,0,0,88,51,0,10,7,56,43,73
2/17/2020,4,97,0,73,75,36,6,0,20,74,0,24,0,8,28,45,61,75,25,69,0,81,35,49,55,65,41,77,42,80,93,37,63,24,61,29,24,36,0,20,96,0,0,36,77,1,11,9,80,81,98
2/18/2020,3,98,0,73,90,57,3,0,19,85,0,24,0,10,27,44,65,94,18,73,43,77,35,58,0,68,40,60,0,54,83,37,62,21,66,44,21,34,81,13,90,0,0,34,82,0,10,8,91,100,93
2/19/2020,3,98,18,79,81,50,3,0,39,30,46,30,42,11,0,55,68,90,18,84,0,73,44,51,28,75,28,73,0,54,87,24,44,19,85,36,21,39,60,13,100,0,0,40,97,1,9,7,92,88,93
2/20/2020,3,99,0,82,82,54,4,0,20,92,47,36,0,11,28,64,69,66,12,97,44,72,50,42,42,72,0,64,0,63,91,37,53,22,92,33,9,36,40,21,83,0,0,38,73,0,10,7,78,52,90
2/21/2020,3,92,10,81,65,62,4,0,21,46,76,38,0,8,61,41,67,28,20,81,0,85,37,47,44,59,0,54,0,50,83,27,90,19,55,34,22,37,43,14,67,0,0,34,65,0,7,6,52,37,69
2/22/2020,2,91,0,71,44,25,1,0,23,43,0,42,0,9,0,42,85,33,0,72,52,64,23,36,0,53,0,16,0,40,51,29,73,13,94,32,22,37,93,8,63,0,0,48,46,0,6,7,33,26,56
2/23/2020,4,94,0,61,59,45,3,0,0,69,0,28,48,9,63,43,73,34,28,85,0,68,39,33,31,56,31,57,0,47,79,28,68,12,51,29,27,34,0,15,74,1,0,69,34,1,8,9,47,52,67
2/24/2020,4,93,10,71,71,57,3,0,41,45,0,56,0,10,30,47,68,33,26,89,0,79,42,47,29,66,29,66,43,56,95,39,82,19,74,29,6,40,0,11,69,0,0,34,72,1,10,10,54,40,61
2/25/2020,4,98,19,73,72,37,3,0,0,69,0,37,0,13,29,75,72,46,13,79,46,84,62,39,57,55,28,52,0,45,82,38,65,17,37,39,6,36,83,7,84,0,0,55,55,3,9,9,52,40,64
2/26/2020,5,98,9,74,78,53,5,0,19,90,96,18,41,10,28,59,55,81,25,78,0,80,88,56,54,71,54,96,0,68,75,25,79,20,40,35,18,38,40,10,84,0,0,99,65,2,10,11,57,54,84
2/27/2020,5,97,0,82,84,50,4,0,39,60,46,48,0,11,0,44,62,68,18,81,0,83,35,46,54,72,0,73,0,73,78,24,58,15,85,30,36,37,40,7,93,0,0,30,65,2,12,11,59,49,90
2/28/2020,6,95,0,77,64,46,3,0,0,45,0,25,45,11,30,59,62,35,20,77,0,67,37,37,57,61,29,46,0,51,81,39,58,18,38,30,20,34,0,7,66,0,0,35,66,2,11,12,34,26,80
2/29/2020,5,89,0,53,53,57,3,0,67,48,55,27,0,8,0,39,76,19,14,65,0,74,45,39,0,50,31,61,0,42,62,28,40,16,46,25,10,29,45,23,61,0,0,63,30,1,8,11,25,23,54
3/1/2020,5,95,0,70,64,52,1,0,0,27,0,54,46,9,0,45,83,31,27,88,0,76,33,31,0,56,92,75,0,47,66,28,56,17,23,37,13,31,44,0,82,0,0,88,59,1,9,10,51,32,77
3/2/2020,6,99,9,73,77,100,5,0,0,54,47,48,0,9,56,53,60,61,37,98,0,79,65,54,27,76,55,67,0,60,78,99,60,24,50,36,24,39,40,13,85,0,90,33,93,2,10,11,81,58,87
3/3/2020,5,100,0,74,81,80,4,0,38,65,45,46,0,9,54,47,59,72,18,75,0,85,43,50,26,72,0,77,40,57,79,24,71,29,44,34,40,36,39,23,92,0,0,35,73,2,8,10,62,49,81
3/4/2020,5,100,9,72,79,42,4,0,0,60,92,35,0,9,0,54,53,53,12,80,0,97,54,35,27,68,26,91,0,79,84,0,55,24,45,33,21,37,0,7,90,0,0,32,73,1,10,9,72,52,84
3/5/2020,6,99,9,82,77,82,2,0,20,48,0,83,41,10,0,53,55,55,37,90,44,83,54,52,27,80,27,96,0,65,76,0,50,100,96,22,27,37,100,10,90,0,0,35,90,1,10,11,50,34,84
3/6/2020,14,94,0,67,68,78,6,0,21,39,100,39,46,8,0,30,58,32,13,81,0,81,32,46,0,65,29,51,45,50,91,26,69,41,66,40,13,39,87,11,62,0,0,38,95,1,14,15,28,28,65
3/7/2020,21,92,0,87,63,25,5,0,23,77,0,48,0,6,0,46,85,23,14,70,0,67,46,27,32,54,31,95,0,39,73,57,73,27,69,23,14,38,92,19,53,1,0,40,39,1,20,22,18,6,53
3/8/2020,19,92,0,68,67,36,6,0,22,41,0,33,0,11,0,64,73,39,41,77,0,75,39,27,30,61,90,52,0,50,65,0,65,19,39,34,20,40,44,15,65,1,0,75,59,2,19,22,33,42,73
3/9/2020,53,98,0,93,100,54,14,0,59,67,0,36,0,16,28,36,61,33,12,77,0,64,30,46,41,72,27,57,0,78,86,25,49,27,96,31,18,62,40,14,74,7,0,33,86,5,39,46,46,28,81
3/10/2020,57,98,9,71,77,36,14,0,39,48,0,18,0,14,28,40,65,46,0,82,44,77,35,50,55,71,27,70,41,64,80,25,60,27,45,32,21,64,0,7,75,16,0,48,100,9,48,51,32,23,78
3/11/2020,62,96,0,82,88,61,19,0,39,67,0,18,0,14,56,49,62,35,19,60,0,59,50,37,0,75,0,100,42,67,57,24,43,22,46,30,18,62,0,13,80,17,0,30,94,47,48,51,32,24,81
3/12/2020,100,97,18,100,94,43,82,0,0,60,0,24,0,100,28,38,59,44,25,64,0,63,34,27,0,82,27,33,0,80,82,0,52,23,100,34,21,100,80,23,75,100,0,39,98,100,69,78,30,23,70
3/13/2020,86,98,0,79,77,15,100,0,21,84,52,19,0,32,0,23,70,18,13,59,0,53,37,31,30,71,0,57,86,63,58,0,50,16,59,38,13,69,43,14,74,48,0,39,98,35,64,67,28,16,63
3/14/2020,85,97,22,75,75,26,97,0,0,87,0,35,100,17,100,33,82,26,30,54,0,61,24,21,0,60,0,20,0,54,62,59,42,15,48,43,22,63,0,100,64,32,0,49,63,23,61,68,10,6,53
