,COVID,shoot+to+kill,oust,public+transportation,mental+health,pwd,quarantine,social amelioration,subpoena,arrest,protesta,volunteer,disinformation,duterte,freedom of speech,LGBT,gay,human rights,prisoners,senior+citizen,upa,rent,unemployment,salary,sweldo,work,censorship,trabaho,ayuda,relief+goods,police,abogado,pulis,PNP,AFP,military,militar,fake+news,reklamo,checkpoint,social+distancing,lockdown,rapid testing,mass+testing,testing,pandemic,corona virus,coronavirus,karapatan,karapatang+pantao,human+rights
protesta,-0.008016403438189402,0.22651529614795599,0.03509634870736647,0.06775560420993978,0.21931862687320694,0.23900959890193854,0.0400151378050791,-0.06490814022440852,0.12194857129583167,0.07195255013290765,1.0,0.011555411108811664,0.03234988077738947,-0.022103489207191938,0.040147947459128794,-0.12629076689858965,-0.3015451661719545,0.15702494418237378,-0.0038989800179632527,0.13322133877608228,-0.10913226007584141,-0.04209244431237917,0.20119028474152842,0.07128906522846803,-0.04382885801710473,0.16381813991934602,-0.02739038031623206,0.36383514834985464,0.20559406548338038,0.10008654133514695,0.1604081455525612,0.09058992324372182,0.21416872798929804,0.03685660830771264,-0.06604495031701813,-0.014294158962950132,-0.029214282858814986,-0.15912111643099341,-0.027169123403615995,-0.006534420777429464,0.23123577814221905,-0.038052571618633645,0.044938906773298454,-0.016361270496586446,0.31649928719092557,-0.048182614156972586,-0.02702053313769773,-0.06241592833974191,0.2562519945090552,0.23828286305346785,0.22346180118422773
volunteer,-0.20645251436033243,0.09649817962195027,-0.16975341571229513,-0.05652083648188864,0.051979909835396014,0.2867154838080071,-0.17584561476306662,0.159001235437149,-0.011349132994036264,0.040334558003042684,0.011555411108811664,1.0,-0.0023998171912487775,-0.11375032594670834,-0.2076784547303275,0.28348361673581635,-0.19040911290971382,-0.13119420119123354,0.19039977587210904,0.11158880648571626,0.12629051567541855,0.15533551422195604,0.07776577450315962,0.20650413841489373,-0.004611253562739125,0.2721696801774862,0.019313082652568918,0.0634061330194027,-0.09019371768542794,0.33326113774665084,0.11696432104671252,-0.026208394498401292,-0.09431541633383254,0.24972929224433474,0.2464801791548037,0.0014286481861825139,0.05028327646650862,0.12479553896664822,0.030841978450669452,-0.16322681683315496,-0.0012568567707160658,-0.16716288056468165,0.1168633216101935,-0.21927409024248426,0.01189774090195348,-0.18841791067402194,-0.2545637204933853,-0.2541205333809779,0.04772813328275102,-0.10051418726060797,-0.08247201016062111
disinformation,0.10042679250854974,0.05192966549351378,-0.02987000379172137,-0.0720697740441056,0.010857703932209193,0.00551929585608292,0.187865334735924,0.16409852171574385,-0.27805888417972197,-0.0596455765901666,0.03234988077738947,-0.0023998171912487775,1.0,-0.030178378409624954,0.20774410949198738,-0.03704588911788684,0.05736649273229846,-0.005094736017457085,-0.020592756529405495,0.01673482925930211,-0.1077695460294263,-0.06765240704194454,-0.035029475859134206,-0.20887547609483217,-0.007827066720040673,0.048309905947755645,0.022321978571767806,-0.021413695916898266,-0.10482589480447337,-0.10366537828726079,-0.08155790941649298,-0.11640332234698518,0.08249994721000461,0.06987259648755349,-0.09149943971244599,-0.0069595206600616116,0.1964062563907119,0.08064076675011198,-0.07986830477717055,0.37435886929861434,0.038771459727618335,0.02683276206294788,-0.08990415792049677,0.2053273074832284,0.014796052289636754,-0.01300330632444149,0.10348194590324546,0.13821228342599345,-0.059770026278628985,-0.04428194946798011,0.0067909337475045
duterte,0.7026605505620706,0.24662975607591098,0.09216907551694145,0.4364875256361475,0.3329975776991175,-0.10495420390148455,0.6699880114941356,0.03657210628122834,-0.08597578893972259,0.07968087294641328,-0.022103489207191938,-0.11375032594670834,-0.030178378409624954,1.0,0.07898376534947552,-0.08837994361973585,-0.16780950652656687,-0.0034395565947268774,0.014935335189622678,-0.07528667506575894,-0.11633313906456627,-0.3373169173799626,-0.008402128901767395,-0.1974018538725028,-0.1845151146172034,0.27301501157297575,-0.01099058924144349,-0.09451054208808882,0.031833339115864966,0.17452527999168957,0.08469699506906758,-0.09977225468509024,-0.08477642668607946,-0.016328895298557442,0.24014667009031135,0.031956108765967106,-0.06388675601562492,0.49946696637699106,0.1537357201194778,0.16873267758795563,0.11718673012961614,0.9423017470714589,-0.04689406355025019,-0.08857793555079792,0.35400162870272084,0.9141972090932943,0.4070403274645568,0.43757983700643627,-0.059019305614414354,-0.028723906720867387,0.04264305226751377
freedom of speech,0.2196180836505796,0.2268398184134681,0.10504374439628543,0.11363238740696632,0.21170115203952883,0.12361320678507466,0.21711853764075947,-0.10401665086755764,0.014033201082855974,0.28761577897979085,0.040147947459128794,-0.2076784547303275,0.20774410949198738,0.07898376534947552,1.0,0.1130613450004338,-0.1817410400889954,0.09272024593795815,0.07038026997052159,0.10582651609379966,-0.13980120039716643,-0.1726767514331874,0.06604759375359981,-0.027671298594122654,0.07893947129515509,0.02116141263153438,-0.019304002254084844,-0.027925817443790586,0.09944163143159024,0.016461625880127454,0.03743303217218243,0.21791037136446617,0.3448679270521854,-0.13122104975739007,-0.10281534048346808,0.1814335847111955,0.1304021513171762,0.06618732115801894,-0.142158195274648,0.43544618766995713,0.15796415622812843,0.12501431088737525,0.03916428356751964,-0.15499157076578082,0.17012603972709592,0.14831473740526938,0.10804063638380082,0.13583393350753278,0.12248001570053081,0.10972158318409767,0.12963898339904023
LGBT,-0.2760072174694524,0.2874343197287177,-0.2922147324412082,0.007377383912880846,0.19867018256468805,0.27607213624900306,-0.27077073064180907,0.030464928966297784,0.003553382180389107,-0.0828547016300996,-0.12629076689858965,0.28348361673581635,-0.03704588911788684,-0.08837994361973585,0.1130613450004338,1.0,-0.3907568868410743,0.14232315092809059,-0.27352693517332044,0.3083730623224413,0.12055783757466836,0.3559029424456988,0.3398136033007769,0.38687747853630455,0.016255884103597705,0.31766509362157835,0.16944133216558377,0.006216275281827445,-0.16648675829157294,0.10408783529388385,0.24199175072729007,-0.009693271146874873,0.08186814851823178,0.0743345098752096,0.16197493805897553,0.4033938392945909,0.109537311708841,0.10353939285779502,0.0005549124289563644,-0.21286421713026432,0.19887438867355975,-0.2148283252240664,-0.0833539342226304,-0.14572170298611406,0.04549756027351708,-0.18296232019114128,-0.3290948457668687,-0.3098009614655507,0.31835454759608767,0.11792892477826143,0.1833357712271373
gay,-0.035262593857178524,-0.6381174551174572,0.09023777013643836,-0.424589688520302,-0.6901235599201822,-0.2927453509161509,0.01604505593513164,-0.13580659944785883,-0.23630430209813072,-0.15064662652591757,-0.3015451661719545,-0.19040911290971382,0.05736649273229846,-0.16780950652656687,-0.1817410400889954,-0.3907568868410743,1.0,-0.47635497290879414,0.07133023771143207,-0.49020885849101326,0.11797765710942228,-0.049352068639801856,-0.5025117630584475,-0.3932146532165932,-0.04737306285490852,-0.6639312212984925,-0.042023020547732895,-0.31696069689318074,-0.221507338804435,-0.5576452428578434,-0.5680167769489967,-0.050714491645613265,-0.09881940386400763,-0.420785999329051,-0.24780812513585837,-0.04572009536294955,-0.39785502797284983,-0.20531629295053017,0.06021204068896364,0.16442026086382558,-0.6019209823361015,-0.07080878963606888,-0.006816102514762764,0.5555294976643304,-0.6413996314560784,-0.11558610300926425,-0.11710871918058277,-0.12663111538164756,-0.4670314257048976,-0.39029743457727045,-0.6272369392119244
human rights,-0.15293200900995388,0.611924048308808,0.03427245235308038,0.39714027830141946,0.649126780297472,0.1703255091546937,-0.09511029870403151,0.037595421959344476,0.2082643210925912,0.1331479912502405,0.15702494418237378,-0.13119420119123354,-0.005094736017457085,-0.0034395565947268774,0.09272024593795815,0.14232315092809059,-0.47635497290879414,1.0,-0.07767183344964416,0.5506660781721778,-0.06642226214736771,0.00802964974411455,0.4966744178465118,0.15701925107234294,-0.013457152930428208,0.4178026536038825,0.0718706754073693,0.3967717775194081,0.10627145966342182,0.29795511794821533,0.49760266716316304,0.12957402274834273,0.09316664450342571,0.2458865810514534,0.09391482275224687,-0.06630213576972871,0.40922216380822013,-0.03952681114783842,-0.022229025898698993,-0.03961023274830835,0.809589330354777,-0.09577170151695984,0.034137145861268266,-0.1357232230405587,0.46412013865520124,-0.06407212488006662,0.15643876868162385,0.10931781811320494,0.7961651807844303,0.8368729866284406,0.8300474168179373
prisoners,0.0014045274277532727,-0.06895871055663727,0.034870140094334215,-0.0020216472321293575,-0.06578870884364268,0.011491322002515481,0.039809016649023636,-0.05173708038071832,-0.01743550215576609,0.010725278877743803,-0.0038989800179632527,0.19039977587210904,-0.020592756529405495,0.014935335189622678,0.07038026997052159,-0.27352693517332044,0.07133023771143207,-0.07767183344964416,1.0,0.028602593278592398,-0.15854045384139182,-0.09875275989743738,0.051750800850487146,-0.21342603320153114,-0.06959705745892975,-0.005650051835765525,-0.0036254470740641983,0.15871160752812158,0.07047368294804274,0.23833128154983263,-0.01631380113933921,0.05685324319250775,-0.05045905201745664,0.01033922738981549,-0.2621500072220972,-0.2182519272273293,-0.013831630269051315,-0.019547094119931344,-0.16485407347500455,0.10910466305210562,-0.003376837638435577,0.02655771123796114,0.15565647907293295,0.13270341507948938,-0.08557549416834787,0.04068578535972106,0.05449446257505187,0.05385965176879506,-0.04942656116092823,-0.003217991775094784,-0.0425762478953365
senior+citizen,-0.19982028297202778,0.570396669323065,-0.08686188634018473,0.43173494284167496,0.5977891872611448,0.2599917453004111,-0.19992317563713352,0.14482088100797086,0.13888381148034423,0.07637965331667101,0.13322133877608228,0.11158880648571626,0.01673482925930211,-0.07528667506575894,0.10582651609379966,0.3083730623224413,-0.49020885849101326,0.5506660781721778,0.028602593278592398,1.0,0.04251261032301214,0.07655624409746162,0.4829958112520884,0.26191798737956545,-0.020296263410889505,0.42173225252277113,0.0988113950940311,0.4043469028778497,0.025188691917881874,0.24928619014799436,0.6070025486998666,0.21351733667088418,0.2724546605363242,0.3713878110672006,0.04722831612633914,-0.0038086599751292758,0.41960860918897647,-0.09247712236976466,-0.08422914038958629,-0.20144982764226288,0.7240951443777675,-0.19410967954042577,0.221257906584884,-0.19782112464671708,0.46016803913535365,-0.18418488104851324,0.06275887887022118,0.05572714515513661,0.6411831193057348,0.5711619914245695,0.7182031015219055
upa,-0.18909466364368183,-0.11595283902101289,-0.07397719467596969,-0.1992441713885773,-0.18235906115545003,0.029847656245878595,-0.18980397291788645,-0.0857568450115148,-0.05110470220516513,0.06830777880592694,-0.10913226007584141,0.12629051567541855,-0.1077695460294263,-0.11633313906456627,-0.13980120039716643,0.12055783757466836,0.11797765710942228,-0.06642226214736771,-0.15854045384139182,0.04251261032301214,1.0,0.2397498513236852,-0.16795722419791928,0.10400665450043067,0.04064649313669327,-0.06873157972914036,0.09770808336697064,-0.26276948764931274,-0.127982457500873,-0.10458926486614867,-0.13821473522036662,0.05324595787794342,-0.17460499459113069,0.0043514986722795,0.13490083170075776,0.1340511399174218,-0.08932872537665272,-0.03699844146634447,-0.08436579721984554,-0.20026483243894022,-0.11265641193166638,-0.13969722514088467,0.051211272106740445,0.07823152167899428,-0.21561930431712406,-0.16045659083758565,-0.17298760004161917,-0.16720740852648974,-0.04957432392565016,-0.10161247428998976,-0.17070117689120007
rent,-0.5718769918856487,-0.18186284877275824,-0.11216649389905821,-0.34245656717661854,-0.23723170927052728,0.36475200987293793,-0.5152998328142481,-0.16877231936082918,-0.17250352600252428,-0.23234293867399214,-0.04209244431237917,0.15533551422195604,-0.06765240704194454,-0.3373169173799626,-0.1726767514331874,0.3559029424456988,-0.049352068639801856,0.00802964974411455,-0.09875275989743738,0.07655624409746162,0.2397498513236852,1.0,-0.09557867432013442,0.3952970356006788,0.13500928410606758,-0.1449898656216249,-0.036463271988149595,-0.09979786096077745,-0.13210695393104052,-0.018685157609524623,0.088752783904253,-0.20490320031508882,0.13402964380917687,0.048353106901181366,0.021516446988119643,0.23146624601527963,0.17758589395405255,-0.1846102146675782,-0.02608012456237771,-0.31016029141525625,-0.14354310592113528,-0.4207697316050281,0.06197679076461877,0.0324200555057315,-0.2926479417070991,-0.43457346545208,-0.4710094039249512,-0.4391304533272475,0.025822492554667176,-0.14265868379349864,-0.11947073487614361
unemployment,-0.09391528486322498,0.4933511679356753,-0.047245490465790255,0.46061449065204374,0.4534690091053538,0.2146691580481505,-0.04949003729011597,0.1694706672132504,0.22547462933072973,0.22571747810870427,0.20119028474152842,0.07776577450315962,-0.035029475859134206,-0.008402128901767395,0.06604759375359981,0.3398136033007769,-0.5025117630584475,0.4966744178465118,0.051750800850487146,0.4829958112520884,-0.16795722419791928,-0.09557867432013442,1.0,0.22781280367750376,0.09468147038771733,0.2901725889949404,0.05181668246801776,0.38593634830441065,0.06059936597136739,0.3526746163537971,0.4796301848448298,0.0669226819738652,0.06107182977611029,0.3294230783256924,0.07965786548667636,-0.023562804723994305,0.28942200597480194,-0.11479462098862774,-0.0917981827521322,-0.14547731312127457,0.5607191542267788,-0.07691722901512009,0.03696835316490445,-0.19192566992756496,0.3435010021888509,-0.025161941663474716,0.11337664747274478,0.08487987837115053,0.45027138472164213,0.4883834202739249,0.5277687293242952
salary,-0.3486253974492539,0.15888225849400248,-0.1541431190363585,-0.02998583023478774,0.16825508916667686,0.45518321062563816,-0.34606930445666095,0.03591380738912191,0.1784451329889108,0.09324103164020786,0.07128906522846803,0.20650413841489373,-0.20887547609483217,-0.1974018538725028,-0.027671298594122654,0.38687747853630455,-0.3932146532165932,0.15701925107234294,-0.21342603320153114,0.26191798737956545,0.10400665450043067,0.3952970356006788,0.22781280367750376,1.0,0.041845541987771434,0.17646419096533233,-0.06823845036347942,0.08118755465045573,-0.06687962289450741,0.19282007611398508,0.37603736348071837,-0.06460120301888572,0.12878544915195786,0.2559625566775045,0.15193209720044495,0.35752091674278774,0.10267412881167681,-0.027429611404421905,-0.1390210196911909,-0.2964101806454853,0.10268367685911761,-0.2963552339826112,0.092040324248022,-0.344196302570182,0.18438791524363302,-0.28875978180985784,-0.2643727340891001,-0.2850795972664999,0.18950225288389586,0.16738266002039418,0.194367739828838
sweldo,-0.21663700115654658,-0.06549244704656378,0.1115748561331149,-0.1014198125418697,-0.12984075322655697,-0.04276954707337171,-0.22051504908669975,-0.025875175087911952,-0.07911142515298046,0.18693926122856905,-0.04382885801710473,-0.004611253562739125,-0.007827066720040673,-0.1845151146172034,0.07893947129515509,0.016255884103597705,-0.04737306285490852,-0.013457152930428208,-0.06959705745892975,-0.020296263410889505,0.04064649313669327,0.13500928410606758,0.09468147038771733,0.041845541987771434,1.0,-0.10058592351901335,0.05328854627283095,-0.012800262561753595,-0.12583952666646558,0.14310069844204093,0.07497077105428811,-0.16743481728844492,0.14718749360385155,-0.025986993558521857,0.15018512392146666,-0.20223945368380872,0.1869129182083014,-0.1831454407410202,-0.1336225462351911,-0.2258271231757481,-0.07867170534379946,-0.2174896763833566,-0.15411536650290206,-0.05231462340370793,-0.1645045292129232,-0.2516820869437729,-0.13708922356443326,-0.13869319632896923,-0.0008698982520862554,-0.06506449416887104,-0.030130107491920632
work,0.23142740302889855,0.6371305038448893,-0.18895761691216717,0.3944515234587055,0.6822523535721263,0.1884982753616453,0.17390178833629577,0.009973769015208436,0.15984604226508858,0.060813592297396836,0.16381813991934602,0.2721696801774862,0.048309905947755645,0.27301501157297575,0.02116141263153438,0.31766509362157835,-0.6639312212984925,0.4178026536038825,-0.005650051835765525,0.42173225252277113,-0.06873157972914036,-0.1449898656216249,0.2901725889949404,0.17646419096533233,-0.10058592351901335,1.0,0.04034310549069663,0.33921242737308144,0.09676378372371666,0.45136139109928,0.4297693293257423,0.020552520323975376,-0.02419123122092237,0.26538913255495716,0.2002303557538979,-0.06747130940336687,0.28631566153515137,0.5151068280385745,-0.004414338203574996,-0.022098237645001843,0.5812733072015105,0.22703582443723339,0.0904251290948774,-0.32758315069708355,0.5900760272744543,0.2488258817152428,0.1026505862154557,0.11007836275998417,0.4636986015995069,0.34879930914910706,0.5673536121717837
censorship,-0.05037330041491607,0.16438803966868737,-0.09338104990672952,-0.08924112223421964,0.017710827955877254,0.01714819449676943,-0.1403490973579031,-0.11046938566063177,0.053705758887515234,-0.13206254325348943,-0.02739038031623206,0.019313082652568918,0.022321978571767806,-0.01099058924144349,-0.019304002254084844,0.16944133216558377,-0.042023020547732895,0.0718706754073693,-0.0036254470740641983,0.0988113950940311,0.09770808336697064,-0.036463271988149595,0.05181668246801776,-0.06823845036347942,0.05328854627283095,0.04034310549069663,1.0,0.10709735775090991,-0.13528274410332466,-0.04562845045629091,-0.021084496407064043,0.16873712789523743,-0.02411083784401823,-0.026809019799476662,-0.0771870982292215,0.025512230739765076,-0.11154329484971028,-0.1987245713176273,0.09651545520979946,-0.13543379219795626,0.10069360984815556,-0.06820918778236011,0.026234219315711925,0.26359579713495895,-0.00014508456929010323,-0.06938255283181688,-0.16736939364271192,-0.15769498571355298,0.1589624917596315,0.18735484997211518,0.060614122122183374
trabaho,0.03779282911511191,0.5221027619699609,-0.15482951051049965,0.3271742686418411,0.4550023489984177,0.20846940460252572,-0.11279893288972057,-0.055374093771349664,0.18204574787534364,0.16487853778421918,0.36383514834985464,0.0634061330194027,-0.021413695916898266,-0.09451054208808882,-0.027925817443790586,0.006216275281827445,-0.31696069689318074,0.3967717775194081,0.15871160752812158,0.4043469028778497,-0.26276948764931274,-0.09979786096077745,0.38593634830441065,0.08118755465045573,-0.012800262561753595,0.33921242737308144,0.10709735775090991,1.0,0.16124109001616035,0.24481880128015193,0.395212046581313,-0.017083752544834775,0.10856777693254122,0.3068662259338705,-0.06613220068041274,-0.16361450042547548,0.09688343774212248,-0.1463627504591184,-0.08066343568176845,-0.16490607218061393,0.537888903739701,-0.1078286718783775,-0.0436150281184472,0.006019225552310719,0.42706441785775495,-0.016553676048954625,-0.053284990777517575,-0.08071181988826802,0.44694183562827,0.450891744413377,0.4800633036905232
